"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"
"H","75 A 79","ALEMANIA",2021,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","2","","1","1",3
"H","75 A 79","ALEMANIA",2021,9,"MAULE","6","","","",6
"H","75 A 79","ALEMANIA",2021,10,"ÑUBLE","3","","","",3
"H","75 A 79","ALEMANIA",2021,11,"BIOBÍO","11","1","","1",12
"H","75 A 79","ALEMANIA",2021,12,"LA ARAUCANÍA","13","","","",13
"H","75 A 79","ALEMANIA",2021,13,"LOS RÍOS","6","","","",6
"H","75 A 79","ALEMANIA",2021,14,"LOS LAGOS","10","1","1","2",12
"H","75 A 79","ALEMANIA",2021,17,"REGIÓN IGNORADA","","","1","1",1
"H","75 A 79","ALEMANIA",2022,1,"ARICA Y PARINACOTA","3","","","",3
"H","75 A 79","ALEMANIA",2022,4,"ATACAMA","1","","","",1
"H","75 A 79","ALEMANIA",2022,5,"COQUIMBO","6","","1","1",7
"H","75 A 79","ALEMANIA",2022,6,"VALPARAÍSO","21","","","",21
"H","75 A 79","ALEMANIA",2022,7,"METROPOLITANA DE SANTIAGO","96","1","3","4",100
"H","75 A 79","ALEMANIA",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","2","","1","1",3
"H","75 A 79","ALEMANIA",2022,9,"MAULE","6","","","",6
"H","75 A 79","ALEMANIA",2022,10,"ÑUBLE","3","","","",3
"H","75 A 79","ALEMANIA",2022,11,"BIOBÍO","11","1","","1",12
"H","75 A 79","ALEMANIA",2022,12,"LA ARAUCANÍA","11","","","",11
"H","75 A 79","ALEMANIA",2022,13,"LOS RÍOS","5","","","",5
"H","75 A 79","ALEMANIA",2022,14,"LOS LAGOS","11","1","1","2",13
"H","75 A 79","ARGENTINA",2018,1,"ARICA Y PARINACOTA","1","","","",1
"H","75 A 79","ARGENTINA",2018,2,"TARAPACÁ","2","","","",2
"H","75 A 79","ARGENTINA",2018,3,"ANTOFAGASTA","1","","","",1
"H","75 A 79","ARGENTINA",2018,4,"ATACAMA","3","","","",3
"H","75 A 79","ARGENTINA",2018,5,"COQUIMBO","6","","","",6
"H","75 A 79","ARGENTINA",2018,6,"VALPARAÍSO","38","2","","2",40
"H","75 A 79","ARGENTINA",2018,7,"METROPOLITANA DE SANTIAGO","146","3","","3",149
"H","75 A 79","ARGENTINA",2018,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","8","","","",8
"H","75 A 79","ARGENTINA",2018,9,"MAULE","4","","","",4
"H","75 A 79","ARGENTINA",2018,10,"ÑUBLE","4","","","",4
"H","75 A 79","ARGENTINA",2018,11,"BIOBÍO","3","","","",3
"H","75 A 79","ARGENTINA",2018,12,"LA ARAUCANÍA","15","","","",15
"H","75 A 79","ARGENTINA",2018,13,"LOS RÍOS","9","","","",9
"H","75 A 79","ARGENTINA",2018,14,"LOS LAGOS","13","1","1","2",15
"H","75 A 79","ARGENTINA",2018,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","7","","","",7
"H","75 A 79","ARGENTINA",2018,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","7","","","",7
"H","75 A 79","ARGENTINA",2019,1,"ARICA Y PARINACOTA","1","","","",1
"H","75 A 79","ARGENTINA",2019,2,"TARAPACÁ","2","","","",2
"H","75 A 79","ARGENTINA",2019,3,"ANTOFAGASTA","1","","","",1
"H","75 A 79","ARGENTINA",2019,4,"ATACAMA","3","","","",3
"H","75 A 79","ARGENTINA",2019,5,"COQUIMBO","5","","","",5
"H","75 A 79","ARGENTINA",2019,6,"VALPARAÍSO","48","1","","1",49
"H","75 A 79","ARGENTINA",2019,7,"METROPOLITANA DE SANTIAGO","164","2","","2",166
"H","75 A 79","ARGENTINA",2019,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","9","","","",9
"H","75 A 79","ARGENTINA",2019,9,"MAULE","4","","","",4
