"";"pais";"año";"region";"comuna";"estimacion"
"256";"ARGENTINA";"2019";"ATACAMA";"COPIAPÓ";387
"257";"ARGENTINA";"2019";"BIOBÍO";"CONCEPCIÓN";619
"258";"ARGENTINA";"2019";"COQUIMBO";"COQUIMBO";801
"259";"ARGENTINA";"2019";"COQUIMBO";"LA SERENA";753
"260";"ARGENTINA";"2019";"LA ARAUCANÍA";"TEMUCO";1999
"261";"ARGENTINA";"2019";"LIBERTADOR GENERAL BERNARDO O'HIGGINS";"RANCAGUA";695
"262";"ARGENTINA";"2019";"LOS LAGOS";"PUERTO MONTT";1673
"263";"ARGENTINA";"2019";"MAULE";"CURICÓ";404
"264";"ARGENTINA";"2019";"MAULE";"TALCA";529
"265";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"CERRO NAVIA";450
"266";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"COLINA";1360
"267";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"CONCHALÍ";397
"268";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"ESTACIÓN CENTRAL";535
"269";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"INDEPENDENCIA";412
"270";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"LA CISTERNA";440
"271";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"LA FLORIDA";1424
"272";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"LAS CONDES";5103
"273";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"LO BARNECHEA";1653
"274";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"LO PRADO";248
"275";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"MACUL";509
"276";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"MAIPÚ";1813
"277";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"MELIPILLA";271
"278";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"PEÑALOLÉN";968
"279";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"PROVIDENCIA";1999
"280";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"PUDAHUEL";769
"281";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"PUENTE ALTO";2004
"282";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"QUILICURA";810
"283";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"QUINTA NORMAL";442
"284";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"RECOLETA";631
"285";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"SAN BERNARDO";1059
"286";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"SAN JOAQUÍN";440
"287";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"SAN MIGUEL";513
"288";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"SANTIAGO";3007
"289";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"VITACURA";1321
"290";"ARGENTINA";"2019";"METROPOLITANA DE SANTIAGO";"ÑUÑOA";1800
"291";"ARGENTINA";"2019";"TARAPACÁ";"ALTO HOSPICIO";310
"292";"ARGENTINA";"2019";"TARAPACÁ";"IQUIQUE";784
"293";"ARGENTINA";"2019";"VALPARAÍSO";"VALPARAÍSO";1358
"294";"ARGENTINA";"2019";"VALPARAÍSO";"VIÑA DEL MAR";2258
"295";"ARGENTINA";"2020";"ANTOFAGASTA";"ANTOFAGASTA";1424
"296";"ARGENTINA";"2020";"ANTOFAGASTA";"CALAMA";692
"297";"ARGENTINA";"2020";"ARICA Y PARINACOTA";"ARICA";382
"298";"ARGENTINA";"2020";"ATACAMA";"COPIAPÓ";397
"299";"ARGENTINA";"2020";"BIOBÍO";"CONCEPCIÓN";615
"300";"ARGENTINA";"2020";"COQUIMBO";"COQUIMBO";824
"301";"ARGENTINA";"2020";"COQUIMBO";"LA SERENA";767
"302";"ARGENTINA";"2020";"LA ARAUCANÍA";"TEMUCO";2025
"303";"ARGENTINA";"2020";"LIBERTADOR GENERAL BERNARDO O'HIGGINS";"RANCAGUA";706
"304";"ARGENTINA";"2020";"LOS LAGOS";"PUERTO MONTT";1688
"305";"ARGENTINA";"2020";"MAULE";"CURICÓ";421
"306";"ARGENTINA";"2020";"MAULE";"TALCA";549
"307";"ARGENTINA";"2020";"METROPOLITANA DE SANTIAGO";"CERRO NAVIA";454
"308";"ARGENTINA";"2020";"METROPOLITANA DE SANTIAGO";"COLINA";1378
"309";"ARGENTINA";"2020";"METROPOLITANA DE SANTIAGO";"CONCHALÍ";400
